sta,rad/dist,dir,deg,m,sec,STATION,NORTHING,EASTING,RADIUS,DISTANCE,BEARING,ID,PARENT,BACK,FORWARD
,Alignment datum,,,,,,0,0,,,,IL 2,,,
,Station equation,,,,,,,,,,,,,148292.43,0
48469.57,545.2175,NE,88,11,11.0129,,,,0,545.2175,88.1863924722222,,,,
50432.84,567.1632,SE,57,42,13.2578,50432.84,,,0,567.1632,57.7036827222222,Luther Dr,IL 2,51000,116708.83
51472.43,527.5677,NE,89,37,42.7519,51472.43,,,0,527.5677,89.6285421944444,Old State Rd,IL 2,52000,118014.32
53000,27.1105,NE,84,13,8.6304,53000,,,0,27.1105,84.219064,Ashelford Dr,IL 2,53000,118841.45
53027.11,150,R,38,11,50,,,,150,0,38.1972222222222,,,,
53184.61,718.0317,SE,35,37,10.5995,,,,0,718.0317,35.6196109722222,,,,
54000,402.1318,NE,89,4,33.1304,54000,,,0,402.1318,89.0758695555556,River Dr S,IL 2,54000,119786.59
1000,39,NW,0,55,26.8696,1000,,,0,39,0.924130444444444,Mobile Home Access Road,River Dr S,1000,54148
1039,30,L,90,0,0,,,,30,0,90,,,,
1086.12,44.75,SW,89,4,33.1304,,,,0,44.75,89.0758695555556,,,,
1130.87,30,R,90,16,20,,,,30,0,90.2722222222222,,,,
1178.13,178.35,NW,0,39,6.8375,,,,0,178.35,0.651899305555556,,,,
1356.48,30,R,86,18,38,,,,30,0,86.3105555555556,,,,
1401.67,49.95,NE,86,18,14.9532,,,,0,49.95,86.3041536666667,,,,
1451.62,25,R,92,46,18,,,,25,0,92.7716666666667,,,,
1492.1,173.45,SE,0,55,26.8696,,,,0,173.45,0.924130444444444,,,,
1665.55,200,R,7,35,34,,,,200,0,7.59277777777778,,,,
1692.05,29.71,SW,6,40,6.6685,,,,0,29.71,6.66851902777778,,,,
55000,171.92,SE,68,29,22.4801,55000,,,0,171.92,68.4895778055556,River Dr N Connector,IL 2,55000,120946.6
4687.89,220.8473,NW,2,10,48.6664,4687.89,,,0,220.8473,2.18018511111111,River Dr N,River Dr N Connector,4998.07,55171.92
4908.74,948.97,L,6,2,16,,,,948.97,0,6.03777777777778,,,,
5086.87,153.1329,NW,12,56,5.5712,,,,0,153.1329,12.9348808888889,,,,
55000,132.9,NW,68,29,22.4801,55000,,,0,132.9,68.4895778055556,Lake Louise Entrance,IL 2,55000,120946.6
60003.34,74.0329,NW,31,48,31.7332,60003.34,,,0,74.0329,31.8088147777778,Kennedy Hill Rd,IL 2,60003.34,126049.05
60077.37,800,R,36,30,38,,,,800,0,36.5105555555556,,,,
60587.16,893.3239,NE,4,42,6.5582,,,,0,893.3239,4.70182172222222,,,,
60040,144.48,SE,20,57,5.4994,60040,,,0,144.48,20.9515276111111,Frontage Rd Connector,IL 2,60040,137115.5597
62000,1312.4904,NW,1,54,39.7115,62000,,,0,1312.4904,1.91103097222222,Meridian Rd,IL 2,62000,148292.43
62700,208.4648,NE,0,25,5.5524,62700,,,0,208.4648,0.418209,Gold River Ave N,IL 2,63000,2541.35
62700,300,NE,0,25,5.5524,62700,,,0,300,0.418209,Gold River Ave S,IL 2,63000,2541.35
64000,300,NW,0,20,48.9969,64000,,,0,300,0.346943583333333,Blue Lake Ave,IL 2,64000,2969.26
64800,200,NW,2,8,40.9273,64800,,,0,200,2.14470202777778,Willow Run,IL 2,65000,3436.72
66000,200,NE,22,41,10.5415,66000,,,0,200,22.6862615277778,Antler Trail,IL 2,66000,3700
66585.01,441.9881,NW,7,0,18.6346,66585.01,,,0,441.9881,7.00517627777778,Silver Creek Rd S,IL 2,67000,4091.07
67762.37,99.3938,NW,28,25,4.9434,67762.37,,,0,99.3938,28.4180398333333,Silver Creek Rd N,IL 2,68000,6141.58
67861.76,1500,R,3,15,38,,,,1500,0,3.26055555555556,,,,
67947.12,52.8807,NW,25,9,27.1998,,,,0,52.8807,25.1575555,,,,
29700,65.7504,NW,18,35,52.5704,29700,,,0,65.7504,18.5979362222222,Prairie Rd S,IL 2,30000,8117.55
29765.75,4000,L,2,52,1,,,,4000,0,2.86694444444444,,,,
29965.89,34.11,NW,21,27,53.0786,,,,0,34.11,21.4647440555556,,,,
163911.98,115.6538,NW,6,22,48.0355,163911.98,,,0,115.6538,6.38000986111111,Prairie Rd N,IL 2,163911.98,8117.55
164027.63,1600,R,5,27,54,,,,1600,0,5.465,,,,
164180.25,450.347,NW,0,54,53.6896,,,,0,450.347,0.914913777777778,,,,
40000,85.46,NW,45,24,38.8436,40000,,,0,85.46,45.4107898888889,CEL_201+44.09,IL 2,40000,20144.09
40085.46,50,R,128,46,5,,,,50,0,128.768055555556,,,,
40197.83,65.99,NE,83,21,25.8871,,,,0,65.99,83.3571908611111,,,,
40263.82,85,L,29,46,29,,,,85,0,29.7747222222222,,,,
40307.99,30.7,NE,53,34,57.1944,,,,0,30.7,53.582554,,,,
40338.69,35,L,68,49,8,,,,35,0,68.8188888888889,,,,
40380.72,63.83,NW,15,14,11.1707,,,,0,63.83,15.2364363055556,,,,
