sta,rad/dist,dir,deg,m,sec,deg_dec,BEARING,tangent,curve length,STATION,NORTHING,EASTING,RADIUS,DISTANCE,ID,PARENT_ID,BACK,FORWARD
,Alignment datum,,,,,,,,,113050,0,0,,,IL 2,,,
,Station equation,,,,,,,,,,,,,,,,148292.43,0
48014.2,455.3657,NE,87,34,38,87.57722222,87.57722222,,,48014.2,,,0,455.3657,Kysor Dr,IL 2,48014.2,115974.23
48469.57,545.2175,NE,88,11,11,88.18638889,88.18638889,,,,,,0,545.2175,,,,
50432.84,567.1632,SE,57,42,13,57.70361111,122.2963889,,,50432.84,,,0,567.1632,Luther Dr,IL 2,51000,116708.83
51472.43,527.5677,NE,89,37,43,89.62861111,89.62861111,,,51472.43,,,0,527.5677,Old State Rd,IL 2,52000,118014.32
53000,27.1105,NE,84,13,9,84.21916667,84.21916667,,,53000,,,0,27.1105,Ashelford Dr,IL 2,53000,118841.45
53027.11,150,R,60,9,40,60.1611111111111,144.380277781111,86.8839609367642,,,,,150,0,,,,
53184.61,718.0317,SE,35,37,11,35.61972222,144.3802778,,,,,,0,718.0317,,,,
54000,402.1318,NE,89,4,33,89.07583333,89.07583333,,,54000,,,0,402.1318,River Dr S,IL 2,54000,119786.59
1000,39,NW,0,55,27,0.924166667,359.0758333,,,1000,,,0,39,Mobile Home Access Road,River Dr S,1000,54148
1039,30,L,90,0,0,90,269.0758333,30,,,,,30,0,,,,
1086.12,44.75,SW,89,4,33,89.07583333,269.0758333,,,,,,0,44.75,,,,
1130.87,30,R,90,16,20,90.27222222,359.3480556,30.1428749016116,,,,,30,0,,,,
1178.13,178.35,NW,0,39,7,0.651944444,359.3480556,,,,,,0,178.35,,,,
1356.48,30,R,86,57,22,86.95611111,86.30416667,28.4471076409605,,,,,30,0,,,,
1401.67,49.95,NE,86,18,15,86.30416667,86.30416667,,,,,,0,49.95,,,,
1451.62,25,R,92,46,18,92.77166667,179.0758333,26.2395919197519,,,,,25,0,,,,
1492.1,173.45,SE,0,55,27,0.924166667,179.0758333,,,,,,0,173.45,,,,
1665.55,200,R,7,35,34,7.592777778,186.6686111,13.2713246316594,,,,,200,0,,,,
1692.05,29.71,SW,6,40,7,6.668611111,186.6686111,,,,,,0,29.71,,,,
55000,171.92,SE,68,29,22,68.48944444,111.5105556,,,55000,,,0,171.92,River Dr N Connector,IL 2,55000,120946.6
4687.89,220.8473,NW,2,10,49,2.180277778,357.8197222,,,4687.89,,,0,220.8473,River Dr N,River Dr N Connector,4998.07,55171.92
4908.74,948.97,L,10,45,17,10.75472222,347.065,89.3257795703205,,,,,948.97,0,,,,
5086.87,153.1329,NW,12,56,6,12.935,347.065,,,,,,0,153.1329,,,,
55000,132.9,NW,68,29,22,68.48944444,291.5105556,,,55000,,,0,132.9,Lake Louise Entrance,IL 2,55000,120946.6
60003.34,74.0329,NW,31,48,32,31.80888889,328.1911111,,,60003.34,,,0,74.0329,Kennedy Hill Rd,IL 2,60003.34,126049.05
60077.37,800,R,36,30,39,36.51083333,4.701944444,263.884294996789,,,,,800,0,,,,
60587.16,893.3239,NE,4,42,7,4.701944444,4.701944444,,,,,,0,893.3239,,,,
60040,144.48,SE,20,57,6,20.95166667,159.0483333,,,60040,,,0,144.48,Frontage Rd Connector,IL 2,60040,137115.5597
62000,1312.4904,NW,1,54,40,1.911111111,358.0888889,,,62000,,,0,1312.4904,Meridian Rd,IL 2,62000,148292.43
62700,208.4648,NE,0,25,6,0.418333333,0.418333333,,,62700,,,0,208.4648,Gold River Ave N,IL 2,63000,2541.35
62700,300,NE,0,25,6,0.418333333,0.418333333,,,62700,,,0,300,Gold River Ave S,IL 2,63000,2541.35
64000,300,NW,0,20,49,0.346944444,359.6530556,,,64000,,,0,300,Blue Lake Ave,IL 2,64000,2969.26
64800,200,NW,2,8,41,2.144722222,357.8552778,,,64800,,,0,200,Willow Run,IL 2,65000,3436.72
66000,200,NE,22,41,11,22.68638889,22.68638889,,,66000,,,0,200,Antler Trail,IL 2,66000,3700
66585.01,441.9881,NW,7,0,19,7.005277778,352.9947222,,,66585.01,,,0,441.9881,Silver Creek Rd S,IL 2,67000,4091.07
67762.37,99.3938,NW,28,25,5,28.41805556,331.5819444,,,67762.37,,,0,99.3938,Silver Creek Rd N,IL 2,68000,6141.58
67861.76,1500,R,3,15,38,3.260555556,334.8425,42.6920944151404,,,,,1500,0,,,,
67947.12,52.8807,NW,25,9,27,25.1575,334.8425,,,,,,0,52.8807,,,,
29700,65.7504,NW,18,35,53,18.59805556,341.4019444,,,29700,,,0,65.7504,Prairie Rd S,IL 2,30000,8117.55
29765.75,4000,L,2,52,0,2.86666666666667,338.535277733333,100.086423332809,,,,,4000,0,,,,
29965.89,34.11,NW,21,27,53,21.46472222,338.5352778,,,,,,0,34.11,,,,
163911.98,115.6538,NW,6,22,48,6.38,353.62,,,163911.98,,,0,115.6538,Prairie Rd N,IL 2,163911.98,8117.55
164027.63,1600,R,5,27,54,5.465,359.085,76.3636986401571,,,,,1600,0,,,,
164180.25,450.347,NW,0,54,54,0.915,359.085,,,,,,0,450.347,,,,
40000,85.46,NW,45,24,39,45.41083333,314.5891667,,,40000,,,0,85.46,CEL_201+44.09,IL 2,40000,20144.09
40085.46,50,R,128,46,5,128.7680556,83.35722222,104.283436449723,,,,,50,0,,,,
40197.83,65.99,NE,83,21,26,83.35722222,83.35722222,,,,,,0,65.99,,,,
40263.82,85,L,29,46,29,29.77472222,53.5825,22.5966747966199,,,,,85,0,,,,
40307.99,30.7,NE,53,34,57,53.5825,53.5825,,,,,,0,30.7,,,,
40338.69,35,L,68,49,8,68.81888889,344.7636111,23.9734752358556,,,,,35,0,,,,
40380.72,63.83,NW,15,14,11,15.23638889,344.7636111,,,,,,0,63.83,,,,
